29
Tiliqua scincoides
Kobus defassa
Mazama americana
Manouria emys
Anas bahamensis
Trachyphonus vaillantii
Tapirus terrestris
Eudyptula minor
Acridotheres tristis
Varanus sp.
Butorides striatus
Larus sp.
Larus novaehollandiae
Meles meles
Genetta genetta
Morelia spilotes variegata
Gabianus pacificus
Ploceus intermedius
Eudyptula minor
Cordylus giganteus
Suricata suricatta
Thalasseus maximus
Aquila chrysaetos
Hymenolaimus malacorhynchus
Iguana iguana
Terathopius ecaudatus
Philetairus socius
Dendrocitta vagabunda
Alligator mississippiensis
